mark_name,model_name,mass_kg,fuel_consumption_lp100km,production_price,frontal_area_m2,co2_emissions_gl,engine_efficiency
BMW,M3 COMPETITION,1805.0,9.8,78697.0,2.7,2275.5102040816323,0.25
VOLKSWAGEN,BENTAYGA S V8,2514.0,13.0,205856.0,2.8,2261.5384615384614,0.25
FORD,TOURNEO CONNECT,1709.0,5.3,20552.0,2.7,2622.6415094339623,0.4
BMW,X2 XDRIVE 20D,1680.0,5.5,32215.0,2.7,2618.181818181818,0.4
BMW,M8 COMPETITION,1975.0,11.1,125848.0,3.0,2279.2792792792793,0.25
STELLANTIS,RIFTER,1577.0,7.0,31765.0,2.9,2257.1428571428573,0.25
MERCEDES-BENZ AG,CLS 400 D 4MATIC,1935.0,7.2,47322.0,3.2,2625.0,0.4
BMW,M2,1800.0,9.8,48836.0,2.9,2244.8979591836733,0.25
VOLKSWAGEN,911 CARRERA S,1660.0,10.7,108136.0,2.4,2271.028037383178,0.25
VOLKSWAGEN,RS Q3,1790.0,10.0,51195.0,2.3,2260.0,0.25
BMW,M3 CS,1840.0,10.2,78697.0,2.4,2254.901960784314,0.25
BMW,120D XDRIVE,1590.0,5.2,16127.0,2.7,2615.3846153846152,0.4
BMW,Z4 M40I,1640.0,8.1,51135.0,3.2,2271.604938271605,0.25
MERCEDES-BENZ AG,AMG CLA 35,1615.0,8.5,18990.0,2.2,2270.5882352941176,0.25
BMW,X2 SDRIVE 18D,1615.0,5.2,32215.0,2.6,2615.3846153846152,0.4
SUBARU-SUZUKI-TOYOTA,IMPREZA,1458.0,7.9,8735.0,3.0,2240.506329113924,0.25
MERCEDES-BENZ AG,GLC 400 D 4MATIC,1935.0,7.6,28718.0,2.6,2618.421052631579,0.4
FORD,MUSTANG,1839.0,12.4,43825.0,2.6,2290.3225806451615,0.25
VOLKSWAGEN,R8 SPYDER,1770.0,13.9,152271.0,2.8,2273.3812949640287,0.25
VOLKSWAGEN,SQ2,1610.0,8.4,25439.0,2.3,2261.904761904762,0.25
MERCEDES-BENZ AG,E 400 D 4MATIC ALLTERRAIN,2060.0,7.4,42526.0,2.8,2608.108108108108,0.4
MERCEDES-BENZ AG,GLS 400 D 4MATIC,2505.0,8.9,58508.0,2.7,2606.741573033708,0.4
MERCEDES-BENZ AG,CLA 200 D,1605.0,5.1,21893.0,2.4,2627.450980392157,0.4
VOLKSWAGEN,911 CARRERA GTS,1620.0,10.9,108136.0,3.1,2266.0550458715597,0.25
BMW,M2 35I XDRIVE,1645.0,7.4,48836.0,3.0,2256.7567567567567,0.25
RENAULT-NISSAN-MITSUBISHI,GRAND SCENIC,1629.0,6.8,11543.0,3.1,2264.7058823529414,0.25
VOLKSWAGEN,RS5 SPORTBACK,1810.0,9.7,65483.0,3.0,2257.7319587628867,0.25
VOLKSWAGEN,718 BOXSTER GTS,1480.0,10.9,64802.0,2.3,2266.0550458715597,0.25
VOLKSWAGEN,SEAT LEON,1313.0,5.6,15541.0,2.0,2285.714285714286,0.25
MERCEDES-BENZ AG,MARCO POLO,2395.0,8.4,52990.0,2.5,2630.9523809523807,0.4
