ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,ech,RLFI,Electric range (km),mk_norm,cn_norm,price,frontal_area_m2
123235030,ES,IP-HNS____ATN83445-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0642*19,A,R,HNSS-C1NH00,CITROEN,C5 AIRCROSS PURETECH 130 S&S EAT8 SHINE PACK,M1,M1,1,1505.0,1618.0,,149.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,2.1,,,F,2023,2023-03-28,6.6,EURO 6AP,,,citroen,c5 aircross puretech 130 s&s eat8 shine pack,17283.0,3.2
123235090,ES,IP-YHZ____ML6_312A-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0534*23,M,C,YHZM-S2P400,PEUGEOT,5008 ALLURE PACK BLUEHDI 130 S&S 6 VEL MAN,M1,M1,1,1590.0,1715.0,,134.0,,,,diesel,M,1499.0,96.0,,e2 28 29,,1.47,,,F,2023,2023-01-18,5.1,EURO 6AP,,,peugeot,5008 allure pack bluehdi 130 s&s 6 vel man,16047.0,2.6
123235334,ES,IP-HNP____AT6_1435-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*69,S,XHNP,Y/AAXS,CITROEN,NUEVO C3 PURETECH 110 S&S EAT6 SHINE (SOLO STOCK),M1,M1,1,1165.0,1299.0,,136.0,,,,petrol,M,1199.0,81.0,,e2 28 29,,2.02,,,F,2023,2023-03-20,6.0,EURO 6AP,,,citroen,nuevo c3 puretech 110 s&s eat6 shine (solo stock),8804.0,2.5
123235440,ES,IP-DGY____EAT82553-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E9*2018/858*11066*04,N,D,DGYP-A1C000,CITROEN,NUEVO CITROËN C5 X PLUG-IN HYBRID 225 Ë EAT8 SHINE,M1,M1,1,1797.0,1888.0,,27.0,,,,petrol/electric,P,1598.0,132.0,146.0,,,,,,F,2023,2023-09-26,1.2,EURO 6AP,,63.0,citroen,nuevo citroën c5 x plug in hybrid 225 ë eat8 shine,7375.0,2.7
123235470,ES,IP-YHZ____ML6_212D-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*22,F,B,YHZL-F2Y400,OPEL,NUEVO ASTRA 5P EDITION 15D DTH MT6 S/S 130 HP (96,M1,M1,1,1424.0,1505.0,,113.0,,,,diesel,M,1499.0,96.0,,e2 29 37,,1.55,,,F,2023,2023-01-20,4.3,EURO 6AP,,,opel,nuevo astra 5p edition 15d dth mt6 s/s 130 hp (96,9574.0,2.2
123235481,ES,IP-HNS____MB6_5426-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E9*2007/46*6816*15,B,A,HNSA-A1A600,CITROEN,NUEVO C4 PURETECH 130 S&S 6V C SERIES,M1,M1,1,1322.0,1403.0,,119.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,2.1,,,F,2023,2023-04-28,5.3,EURO 6AP,,,citroen,nuevo c4 puretech 130 s&s 6v c series,9843.0,2.3
123235546,ES,IP-HNP____AT6_1434-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*74,S,XHNP,Y/AMXS,CITROEN,NUEVO C3 PURETECH 110 S&S EAT6 MAX,M1,M1,1,1165.0,1269.0,,134.0,,,,petrol,M,1199.0,81.0,,e2 28 29,,2.02,,,F,2023,2023-12-27,5.9,EURO 6AP,,,citroen,nuevo c3 puretech 110 s&s eat6 max,8804.0,3.0
123235593,ES,IP-HNS____ATN82443-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*22,F,P,HNST-B11J01,PEUGEOT,NUEVO 308 5P ACTIVE PACK PURETECH 130 S&S EAT8,M1,M1,1,1363.0,1449.0,,128.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,1.97,,,F,2023,2023-03-13,5.7,EURO 6AP,,,peugeot,nuevo 308 5p active pack puretech 130 s&s eat8,8477.0,2.4
123235658,ES,IP-HNS____ATN85444-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E9*2007/46*6816*12,B,A,HNSB-A1AH00,CITROEN,NUEVO C4 PURETECH 130 S&S EAT8 SHINE (SOLO STOCK),M1,M1,1,1353.0,1445.0,,130.0,,,,petrol,M,1199.0,96.0,,e2 28 29,,2.1,,,F,2023,2023-02-09,5.8,EURO 6AP,,,citroen,nuevo c4 puretech 130 s&s eat8 shine (solo stock),9843.0,2.3
123235784,ES,IP-ZKW____REDU5G64-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*27,U,H,ZKWZ-Y0J000,OPEL,CORSA GS ELECTRIC 51KWH LONG RANGE 156 CV (115KW),M1,M1,1,1544.0,1655.0,,0.0,,,,electric,E,,115.0,145.0,,,,,,F,2023,2023-11-30,,EURO AX,,397.0,opel,corsa gs electric 51kwh long range 156 cv (115kw),8959.0,2.8
123235853,ES,IP-YHZ____ATN8214B-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*22,F,C,YHZT-D2Y700,PEUGEOT,NUEVO 308 SW ACTIVE PACK BLUEHDI 130 S&S EAT8,M1,M1,1,1475.0,1552.0,,129.0,,,,diesel,M,1499.0,96.0,,e2 29 37,,1.41,,,F,2023,2023-04-05,4.9,EURO 6AP,,,peugeot,nuevo 308 sw active pack bluehdi 130 s&s eat8,8477.0,3.0
123235885,ES,IP-HNS____ATN84441-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*26,F,P,HNST-K11G00,PEUGEOT,N 508 5P GT PURETECH 130 S&S EAT8,M1,M1,1,1501.0,1602.0,,132.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,1.89,,,F,2023,2023-09-25,5.9,EURO 6AP,,,peugeot,n 508 5p gt puretech 130 s&s eat8,16180.0,2.8
123235948,ES,IP-ZKX____REDU576C-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*27,U,H,ZKXZ-K0L000,PEUGEOT,N208 5P STYLE ELECTRICO 136 (100 KW),M1,M1,1,1530.0,1618.0,,0.0,,,,electric,E,,100.0,155.0,,,,,,F,2023,2023-11-27,,EURO AX,,361.0,peugeot,n208 5p style electrico 136 (100 kw),8793.0,2.9
123236057,ES,IP-ZKX____REDU6760-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0624*20,E,Z,ZKXZ-C7U000,CITROEN,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL SHINE,M1,M1,1,1813.0,1942.0,,0.0,,,,electric,E,,100.0,199.0,,,,,,F,2023,2023-01-31,,EURO AX,,278.0,citroen,nuevo e berlingo electrico 50 kwh talla xl shine,10316.0,2.4
123236070,ES,IP-YHZ____ATN8214D-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*22,F,B,YHZT-F21400,OPEL,NUEVO ASTRA 5P GS 15D DTH AT8 S/S 130 HP (96KW),M1,M1,1,1438.0,1544.0,,130.0,,,,diesel,M,1499.0,96.0,,e2 29 37,,1.55,,,F,2023,2023-04-27,5.0,EURO 6AP,,,opel,nuevo astra 5p gs 15d dth at8 s/s 130 hp (96kw),9574.0,2.2
123236121,ES,IP-YHZ____ML6_312A-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0642*17,A,C,YHZK-C2ND00,CITROEN,C5 AIRCROSS BLUEHDI 130 S&S 6V SHINE PACK (SOLO ST,M1,M1,1,1505.0,1615.0,,130.0,,,,diesel,M,1499.0,96.0,,e2 29 37,,1.5,,,F,2023,2023-03-31,5.0,EURO 6AP,,,citroen,c5 aircross bluehdi 130 s&s 6v shine pack (solo st,17283.0,3.1
123236169,ES,IP-HNE____MB6_542B-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E9*2007/46*6816*18,B,A,HNEA-A1A300,CITROEN,NUEVO C4 PURETECH 100 S&S 6V YOU,M1,M1,1,1284.0,1381.0,,121.0,,,,petrol,M,1199.0,74.0,,e2 29,,1.3,,,F,2023,2023-11-28,5.4,EURO 6EA,,,citroen,nuevo c4 puretech 100 s&s 6v you,9843.0,2.5
