Mp,Cn,Fm,z (Wh/km),Electric range (km),m (kg),Battery capacity (kWh),Energy per km (Wh/km),Motor efficiency,Efficiency (km/kWh)
,TAYCAN TURBO S TOURING,E,263.0,,2370.0,,2630.0,0.9,0.38022813688212925
,COMBO,E,,,1570.0,,,0.9,
,AUDI Q4 E-TRON,E,,,2215.0,,,0.9,
,TAYCAN SPORT TURISMO,E,263.0,,2493.0,,2630.0,0.9,0.38022813688212925
,TAYCAN TURBO SPORT TURISMO,E,270.0,,2493.0,,2700.0,0.9,0.37037037037037035
VOLKSWAGEN,Q4 SPORTBACK 55 E-TRON,E,173.0,508.0,2235.0,878.84,1730.0,0.9,0.5780346820809249
,GLC STANDARD RANGE EQ L,E,137.0,,2530.0,,1370.0,0.9,0.7299270072992701
,AUDI SQ8 E-TRON SPORTBACK,E,,,2730.0,,,0.9,
,MACAN BEV,E,275.0,,2520.0,,2750.0,0.9,0.36363636363636365
RENAULT-NISSAN-MITSUBISHI,LEAF 62KWH,E,178.0,394.0,1756.0,701.32,1780.0,0.9,0.5617977528089888
MERCEDES-BENZ AG,EQ FORFOUR,E,169.0,125.0,1200.0,211.25,1690.0,0.9,0.591715976331361
VOLKSWAGEN,UP!,E,144.0,258.0,1248.0,371.52,1440.0,0.9,0.6944444444444444
MAZDA,MX-30,E,179.0,200.0,1720.0,358.0,1790.0,0.9,0.5586592178770949
,E:NY1 EV ADVANCE,E,182.0,412.0,1730.0,749.84,1820.0,0.9,0.5494505494505495
FORD,MUSTANG MACH-E GT,E,212.0,490.0,2348.0,1038.8,2120.0,0.9,0.4716981132075472
BMW,IX1 XDRIVE30 U11 XE2,E,178.0,426.0,2085.0,758.28,1780.0,0.9,0.5617977528089888
BMW,I5 M60 XDRIVE LIMOUSINE G60 XE,E,204.0,459.0,2380.0,936.36,2040.0,0.9,0.49019607843137253
BMW,IX3 G08 HA0,E,187.0,458.0,2255.0,856.46,1870.0,0.9,0.5347593582887701
BMW,MINI COOPER SE BEV F56 IB1,E,158.0,226.0,1440.0,357.08,1580.0,0.9,0.6329113924050633
RENAULT-NISSAN-MITSUBISHI,NISSAN LEAF 40KWH,E,166.0,285.0,1580.0,473.1,1660.0,0.9,0.6024096385542169
BMW,IX M60 I20 XE2,E,227.0,547.0,2670.0,1241.69,2270.0,0.9,0.44052863436123346
,JAGUAR I-PACE EV320 S AWD,E,225.0,460.0,2244.0,1035.0,2250.0,0.9,0.4444444444444444
